10,4,0.005996227264404297
100,25,0.10292577743530273
1000,168,1.924056053161621
10,4,0.0029821395874023438
100,25,0.025096654891967773
1000,168,0.25037646293640137
10000,1229,4.810643672943115
10,4,0.0
100,25,0.0
1000,168,0.009923934936523438
10000,1229,0.763425350189209
10,4,0.0
100,25,0.0
1000,168,0.017147541046142578
10000,1229,1.041036605834961
10,4,0.0
100,25,0.0
1000,168,0.009444713592529297
10000,1229,0.9409818649291992
10,4,0.0
100,25,0.001003265380859375
1000,168,0.011527299880981445
10000,1229,0.7646374702453613
100000,9592,125.54374837875366
