12,37,191,23,101,190,29,18,86,198,38,66,42,150,19,31,103,86,180,159
67,26,37,76,68,47,121,78,33,16,102,175,148,107,148,66,157,110,108,197
167,19,131,143,50,189,197,190,74,55,135,29,160,7,44,78,142,117,110,92
111,164,87,44,86,53,161,83,74,48,170,96,23,57,2,119,194,76,57,87
119,180,44,125,181,56,109,147,136,126,37,95,139,185,58,102,12,179,131,68
140,28,125,189,152,28,195,103,61,97,112,160,182,19,165,199,88,161,153,83
84,151,156,105,200,200,78,138,88,6,74,54,73,119,110,3,86,145,156,104
145,157,180,44,29,170,18,160,102,102,42,120,115,23,72,200,71,85,34,38
106,49,153,185,85,148,17,43,159,46,85,127,176,45,40,11,196,130,197,85
18,199,68,127,72,126,171,85,92,74,104,113,81,74,27,75,55,66,86,23
102,21,35,157,47,178,173,116,147,165,124,165,125,158,140,47,153,82,19,77
179,149,46,43,98,198,179,15,50,103,30,83,196,186,158,145,189,164,97,64
133,113,183,34,130,137,3,28,69,69,161,102,98,56,39,106,190,129,31,93
112,99,128,124,114,83,131,105,115,74,118,77,58,107,32,152,132,3,193,36
67,33,178,112,70,182,145,154,104,126,134,82,158,141,87,154,165,26,110,47
180,173,69,178,196,26,71,25,53,127,118,200,4,147,124,133,50,95,22,52
55,192,159,25,31,161,112,19,17,169,56,5,21,124,107,21,5,152,128,136
197,179,49,69,130,112,37,4,95,183,197,173,127,22,12,187,173,85,31,146
16,44,28,71,123,132,106,37,147,120,2,179,14,156,4,172,11,168,75,171
88,90,108,156,30,130,115,7,29,198,14,9,30,41,187,173,86,187,77,113
