120,6,138,67,110,42,22,71,41,170,75,11,187,135,12,10,9,71,21,131,194,6,121,183,97
84,124,95,163,10,72,122,38,156,62,25,11,200,189,159,26,21,157,57,181,85,177,150,37,110
160,70,113,62,135,23,115,187,39,160,41,63,130,28,133,150,181,138,41,106,198,160,28,157,58
95,168,200,91,45,154,198,93,176,54,33,114,47,57,67,60,112,197,61,136,70,25,176,86,79
150,126,37,142,30,95,68,106,55,77,102,199,171,173,34,120,20,114,111,112,93,110,196,104,93
85,176,23,108,93,157,15,74,32,41,163,144,5,36,96,127,38,48,93,27,192,172,154,93,23
110,79,177,96,196,171,86,39,133,52,191,17,183,119,126,42,11,118,66,170,179,145,21,93,194
173,52,145,70,65,137,16,124,158,121,123,190,4,142,139,179,80,35,193,186,120,139,61,68,114
109,11,107,18,166,153,170,122,69,119,35,159,177,45,37,57,127,193,65,174,72,199,77,153,24
117,163,183,157,87,26,137,169,135,85,62,194,183,184,110,131,196,32,126,129,103,95,99,44,21
81,27,48,170,122,188,150,124,51,51,187,69,39,186,151,153,135,18,131,146,131,150,190,23,4
95,89,22,41,119,119,148,101,25,178,92,88,12,165,38,107,163,36,170,143,25,63,112,102,193
114,73,141,23,127,2,182,23,90,50,12,158,147,158,165,167,41,158,135,62,21,4,16,166,13
98,103,150,75,93,182,33,31,35,3,181,49,187,17,161,145,135,19,189,54,76,55,66,126,192
184,40,89,101,75,87,100,20,2,168,54,91,199,33,153,167,167,22,161,98,82,44,108,157,176
13,44,182,159,18,185,115,119,142,11,59,191,57,70,3,43,102,4,48,119,86,44,100,49,128
79,14,140,173,153,119,145,168,156,80,85,82,169,139,164,92,55,145,78,141,125,74,16,165,119
157,134,103,51,159,2,160,155,200,107,88,158,107,20,124,31,129,158,24,135,25,92,192,171,35
158,127,159,140,192,23,190,70,111,100,135,13,100,64,96,90,83,157,40,108,153,40,5,103,147
74,135,12,9,122,191,115,164,24,45,100,105,10,57,126,17,176,14,31,106,147,26,85,7,144
180,47,12,167,119,122,91,123,8,124,91,167,153,107,84,5,146,128,58,59,116,94,166,175,22
79,149,188,170,70,107,28,101,123,83,33,158,78,79,123,74,169,66,64,145,2,47,130,82,99
135,191,124,38,166,92,35,127,96,173,78,163,110,184,111,183,88,58,66,107,197,22,145,197,27
160,163,140,139,140,17,13,37,187,54,24,179,4,122,54,78,82,157,18,127,22,159,98,180,91
167,118,35,147,68,105,59,5,126,57,168,8,51,24,178,117,19,105,26,173,6,85,162,22,172
